episode,train_step,avg_loss,avg_td_error,avg_q_value,avg_batch_reward,batch_size,epsilon
17,337,4604.096680,61.524040,-236.8977,0.561724,32,0.975625
17,338,4444.872070,60.619686,-238.1852,0.561724,32,0.975625
17,339,4289.971191,59.722958,-239.4709,0.561724,32,0.975625
17,340,4137.717773,58.821835,-240.7621,0.561724,32,0.975625
17,341,3989.783447,57.926670,-242.0518,0.561724,32,0.975625
17,342,3844.617432,57.025562,-243.3466,0.561724,32,0.975625
17,343,3703.711426,56.129578,-244.6408,0.561724,32,0.975625
17,344,3565.726562,55.229168,-245.9393,0.561724,32,0.975625
17,345,3431.899902,54.330982,-247.2384,0.561724,32,0.975625
17,346,3301.129639,53.428345,-248.5409,0.561724,32,0.975625
17,347,3174.525879,52.528336,-249.8445,0.561724,32,0.975625
17,348,3051.080566,51.622978,-251.1507,0.561724,32,0.975625
17,349,2931.805908,50.719570,-252.4582,0.561724,32,0.975625
17,350,2815.755859,49.811203,-253.7681,0.561724,32,0.975625
17,351,2703.908203,48.904881,-255.0792,0.561724,32,0.975625
17,352,2595.356445,47.992832,-256.3923,0.561724,32,0.975625
17,353,2491.046143,47.083199,-257.7068,0.561724,32,0.975625
17,354,2390.070068,46.166786,-259.0231,0.561724,32,0.975625
17,355,2293.389648,45.253662,-260.3412,0.561724,32,0.975625
17,356,2200.152588,44.335129,-261.6631,0.561724,32,0.975625
17,357,2111.205078,43.419533,-262.9855,0.561724,32,0.975625
17,358,2025.780640,42.497921,-264.3116,0.561724,32,0.975625
17,359,1944.644653,41.579334,-265.6379,0.561724,32,0.975625
17,360,1867.139648,40.653954,-266.9651,0.561724,32,0.975625
18,361,1800.119019,39.855492,-267.2470,0.569460,32,0.973750
18,362,6089.936035,69.766449,-268.5725,0.569460,32,0.973750
18,363,5892.173828,68.797813,-269.9526,0.569460,32,0.973750
18,364,5697.602051,67.831703,-271.3300,0.569460,32,0.973750
18,365,5507.947266,66.873131,-272.7012,0.569460,32,0.973750
18,366,5321.346191,65.910179,-274.0772,0.569460,32,0.973750
18,367,5139.562988,64.951241,-275.4507,0.569460,32,0.973750
18,368,4960.922363,63.990231,-276.8289,0.569460,32,0.973750
18,369,4787.086426,63.036743,-278.2054,0.569460,32,0.973750
18,370,4616.490234,62.080524,-279.5868,0.569460,32,0.973750
18,371,4450.686523,61.129539,-280.9670,0.569460,32,0.973750
18,372,4288.198730,60.173653,-282.3522,0.569460,32,0.973750
18,373,4130.557617,59.223942,-283.7360,0.569460,32,0.973750
18,374,3976.301514,58.268250,-285.1248,0.569460,32,0.973750
18,375,3826.872559,57.316406,-286.5127,0.569460,32,0.973750
18,376,3680.934326,56.359219,-287.9050,0.569460,32,0.973750
18,377,3539.826172,55.405243,-289.2967,0.569460,32,0.973750
18,378,3402.300537,54.444756,-290.6925,0.569460,32,0.973750
18,379,3269.616455,53.487953,-292.0878,0.569460,32,0.973750
18,380,3140.612549,52.524837,-293.4869,0.569460,32,0.973750
18,381,3016.458252,51.564648,-294.8850,0.569460,32,0.973750
18,382,2896.070312,50.597538,-296.2869,0.569460,32,0.973750
18,383,2780.530762,49.633232,-297.6878,0.569460,32,0.973750
18,384,2668.864258,48.661461,-299.0915,0.569460,32,0.973750
18,385,2562.070801,47.693077,-300.4947,0.569460,32,0.973750
18,386,2459.280762,46.720028,-301.9043,0.569460,32,0.973750
18,387,2361.353516,45.751270,-303.3153,0.569460,32,0.973750
18,388,2267.515381,44.775410,-304.7284,0.569460,32,0.973750
18,389,2178.510742,43.802540,-306.1406,0.569460,32,0.973750
18,390,2093.698730,42.822952,-307.5546,0.569460,32,0.973750
19,391,2014.940674,41.850296,-309.6771,0.566384,32,0.971875
19,392,6685.146973,73.257828,-311.0963,0.566384,32,0.971875
19,393,6464.191406,72.206879,-312.5870,0.566384,32,0.971875
19,394,6247.166016,71.164848,-314.0679,0.566384,32,0.971875
19,395,6036.003418,70.133217,-315.5402,0.566384,32,0.971875
19,396,5828.311035,69.096741,-317.0172,0.566384,32,0.971875
19,397,5626.243164,68.066315,-318.4901,0.566384,32,0.971875
19,398,5427.793945,67.033699,-319.9679,0.566384,32,0.971875
19,399,5234.884766,66.010574,-321.4430,0.566384,32,0.971875
19,400,5045.722656,64.984558,-322.9234,0.566384,32,0.971875
19,401,4862.083008,63.965019,-324.4016,0.566384,32,0.971875
19,402,4682.258789,62.941044,-325.8853,0.566384,32,0.971875
19,403,4507.975586,61.922787,-327.3667,0.566384,32,0.971875
19,404,4337.629395,60.897957,-328.8533,0.566384,32,0.971875
19,405,4172.826172,59.878624,-330.3379,0.566384,32,0.971875
19,406,4012.060791,58.852505,-331.8273,0.566384,32,0.971875
19,407,3856.813965,57.829811,-333.3151,0.566384,32,0.971875
19,408,3705.718262,56.800671,-334.8074,0.566384,32,0.971875
19,409,3560.138672,55.775730,-336.2982,0.566384,32,0.971875
19,410,3418.797852,54.743038,-337.7934,0.566384,32,0.971875
19,411,3283.010498,53.714394,-339.2871,0.566384,32,0.971875
19,412,3151.565186,52.677456,-340.7841,0.566384,32,0.971875
19,413,3025.651611,51.643951,-342.2794,0.566384,32,0.971875
19,414,2904.204346,50.602467,-343.7772,0.566384,32,0.971875
19,415,2788.291260,49.564445,-345.2730,0.566384,32,0.971875
19,416,2676.993164,48.522423,-346.7773,0.566384,32,0.971875
19,417,2571.228516,47.486046,-348.2840,0.566384,32,0.971875
19,418,2470.180420,46.442291,-349.7916,0.566384,32,0.971875
19,419,2374.617432,45.402386,-351.2981,0.566384,32,0.971875
19,420,2283.891602,44.355820,-352.8046,0.566384,32,0.971875
